msn,work_order,point_id,rail,dx_value (mm),dy_value (mm),dz_value (mm)
11402,1016408792,FR035_MR1292L_SJ_0015_NFF,1292L,-0.13,-0.30,0.10
11402,1016408792,FR035_MR1292R_SJ_0015_NFF,1292R,0.13,-0.62,0.44
11402,1016408792,FR035_MR0254L_RJ_0001_NFF,254L,0.21,0.59,-0.43
11402,1016408792,FR035_MR0254R_RJ_0001_NFF,254R,-0.73,-0.61,-0.65
11402,1016408792,FR035_MR0765L_SJ_0007_NFF,765L,-0.16,1.18,0.71
11402,1016408792,FR035_MR0765R_SJ_0007_NFF,765R,-0.38,0.44,0.54
11451,1016681539,FR035_MR1292L_SJ_0015_NFF,1292L,-0.18,-0.01,1.64
11451,1016681539,FR035_MR1292R_SJ_0015_NFF,1292R,0.18,-0.83,0.60
11451,1016681539,FR035_MR0254L_RJ_0001_NFF,254L,0.51,1.42,0.62
11451,1016681539,FR035_MR0254R_RJ_0001_NFF,254R,0.16,-0.41,0.11
11451,1016681539,FR035_MR0765L_SJ_0007_NFF,765L,-0.03,1.98,1.30
11451,1016681539,FR035_MR0765R_SJ_0007_NFF,765R,0.21,-1.04,0.06
11471,1016544322,FR035_MR1292L_SJ_0015_NFF,1292L,0.15,1.59,2.65
11471,1016544322,FR035_MR1292R_SJ_0015_NFF,1292R,-0.15,-0.08,-0.53
11471,1016544322,FR035_MR0254L_RJ_0001_NFF,254L,0.67,1.77,-1.23
11471,1016544322,FR035_MR0254R_RJ_0001_NFF,254R,0.08,0.50,-1.44
11471,1016544322,FR035_MR0765L_SJ_0007_NFF,765L,0.16,0.17,0.15
11471,1016544322,FR035_MR0765R_SJ_0007_NFF,765R,-0.30,0.78,-0.37
11478,1016544338,FR035_MR1292L_SJ_0015_NFF,1292L,0.34,1.08,0.25
11478,1016544338,FR035_MR1292R_SJ_0015_NFF,1292R,-0.34,-0.75,0.00
11478,1016544338,FR035_MR0254L_RJ_0001_NFF,254L,0.12,0.25,-0.44
11478,1016544338,FR035_MR0254R_RJ_0001_NFF,254R,-0.54,-0.23,-0.12
11478,1016544338,FR035_MR0765L_SJ_0007_NFF,765L,-0.19,-0.05,-0.03
11478,1016544338,FR035_MR0765R_SJ_0007_NFF,765R,-0.52,-1.52,-0.30
11493,1016961721,FR035_MR1292L_SJ_0015_NFF,1292L,0.27,0.07,1.16
11493,1016961721,FR035_MR1292R_SJ_0015_NFF,1292R,-0.27,-0.84,0.73
11493,1016961721,FR035_MR0254L_RJ_0001_NFF,254L,0.41,1.01,-1.00
11493,1016961721,FR035_MR0254R_RJ_0001_NFF,254R,-0.89,0.80,-1.42
11493,1016961721,FR035_MR0765L_SJ_0007_NFF,765L,-0.11,0.30,0.50
11493,1016961721,FR035_MR0765R_SJ_0007_NFF,765R,-0.03,-1.97,-0.45
11494,1016562902,FR035_MR1292L_SJ_0015_NFF,1292L,0.35,1.57,0.90
11494,1016562902,FR035_MR1292R_SJ_0015_NFF,1292R,-0.35,-0.10,1.05
11494,1016562902,FR035_MR0254L_RJ_0001_NFF,254L,0.24,-0.10,-0.45
11494,1016562902,FR035_MR0254R_RJ_0001_NFF,254R,-0.26,1.85,-1.39
11494,1016562902,FR035_MR0765L_SJ_0007_NFF,765L,-0.05,1.69,0.61
