Drilling UID,Time (µs),T°,RPM,Spindle Amps (%),Spindle Cmd (%),Feed Pos. (µm),Feed Amps (%),Feed Cmd (%),Clamp Pos. (µm),Clamp Amps (%),Clamp Cmd (%)
H22,0,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.73
H22,5000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.73
H22,10000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.73
H22,15000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.73
H22,20000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.73
H22,25000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.73
H22,30000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.73
H22,35000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.73
H22,40000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.73
H22,45000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.00
H22,50000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.03
H22,55000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.03
H22,60000,48,2402,0.00,0.00,0,0.00,0.87,-28000,0.00,0.10
H22,65000,48,2402,0.00,0.00,0,0.00,0.87,-28000,3.00,1.41
H22,70000,48,2402,0.00,0.00,0,0.00,0.87,-27973,28.90,2.23
H22,75000,48,2402,0.00,0.00,0,0.00,0.87,-27882,0.70,1.86
H22,80000,48,2402,0.00,0.00,0,0.00,0.87,-27798,13.30,2.69
H22,85000,48,2402,0.00,0.00,0,0.00,0.87,-27693,20.20,3.72
H22,90000,48,2402,0.00,0.00,0,0.00,0.87,-27557,14.10,4.38
H22,95000,48,2402,0.00,0.00,0,0.00,0.87,-27397,14.40,5.14
H22,100000,48,2402,0.00,0.00,0,0.00,0.87,-27215,10.70,5.86
H22,105000,48,2402,0.00,0.00,0,0.00,0.87,-27014,7.10,5.76
H22,110000,48,2402,0.00,0.00,0,0.00,0.87,-26804,0.60,5.11
H22,115000,48,2402,0.00,0.00,0,0.00,0.87,-26560,1.90,4.84
H22,120000,48,2402,0.00,0.00,0,0.00,0.87,-26364,1.10,5.00
H22,125000,48,2402,0.00,0.00,0,0.00,0.87,-26169,4.00,5.20
H22,130000,48,2402,0.00,0.00,0,0.00,0.87,-25971,5.90,5.25
H22,135000,48,2402,0.00,0.00,0,0.00,0.87,-25772,1.70,5.15
H22,140000,48,2402,0.00,0.00,0,0.00,0.87,-25574,3.50,5.20
H22,145000,48,2402,0.00,0.00,0,0.00,0.87,-25378,3.80,5.29
H22,150000,48,2402,0.00,0.00,0,0.00,0.87,-25180,4.80,5.18
H22,155000,48,2402,0.00,0.00,0,0.00,0.87,-24982,5.10,5.21
H22,160000,48,2402,0.00,0.00,0,0.00,0.87,-24746,3.90,5.17
H22,165000,48,2402,0.00,0.00,0,0.00,0.87,-24549,5.80,5.20
H22,170000,48,2402,0.00,0.00,0,0.00,0.87,-24352,1.70,5.18
H22,175000,48,2402,0.00,0.00,0,0.00,0.87,-24153,1.90,05.03
H22,180000,48,2402,0.00,0.00,0,0.00,0.87,-23957,1.50,5.00
H22,185000,48,2402,0.00,0.00,0,0.00,0.87,-23761,2.10,05.02
H22,190000,48,2402,0.00,0.00,0,0.00,0.87,-23566,3.40,5.14
H22,195000,48,2402,0.00,0.00,0,0.00,0.87,-23371,3.40,5.20
H22,200000,48,2402,0.00,0.00,0,0.00,0.87,-23174,5.30,5.10
H22,205000,48,2402,0.00,0.00,0,0.00,0.87,-22939,2.20,5.14
H22,210000,48,2402,0.00,0.00,0,0.00,0.87,-22743,3.70,5.16
H22,215000,48,2402,0.00,0.00,0,0.00,0.87,-22548,5.00,5.20
H22,220000,48,2402,0.00,0.00,0,0.00,0.87,-22351,1.70,5.18
H22,225000,48,2402,0.00,0.00,0,0.00,0.87,-22152,1.60,4.96
H22,230000,48,2402,0.00,0.00,0,0.00,0.87,-21956,1.00,4.90
H22,235000,48,2402,0.00,0.00,0,0.00,0.87,-21762,2.20,05.01
H22,240000,48,2402,0.00,0.00,0,0.00,0.87,-21570,5.40,5.25
H22,245000,48,2402,0.00,0.00,0,0.00,0.87,-21336,4.80,5.32
H22,250000,48,2402,0.00,0.00,0,0.00,0.87,-21137,4.80,5.10
H22,255000,48,2402,0.00,0.00,0,0.00,0.87,-20941,1.40,05.09
H22,260000,48,2402,0.00,0.00,0,0.00,0.87,-20746,2.70,05.07
H22,265000,48,2402,0.00,0.00,0,0.00,0.87,-20551,5.60,5.18
H22,270000,48,2402,0.00,0.00,0,0.00,0.87,-20355,1.50,5.13
H22,275000,48,2402,0.00,0.00,0,0.00,0.87,-20157,1.40,4.95
H22,280000,48,2402,0.00,0.00,0,0.00,0.87,-19962,1.80,4.92
H22,285000,48,2402,0.00,0.00,0,0.00,0.87,-19729,4.70,05.01
H22,290000,48,2402,0.00,0.00,0,0.00,0.87,-19536,3.80,5.20
H22,295000,48,2402,0.00,0.00,0,0.00,0.87,-19341,3.60,5.22
H22,300000,48,2402,0.00,0.00,0,0.00,0.87,-19144,6.50,5.12
H22,305000,48,2402,0.00,0.00,0,0.00,0.87,-18949,2.50,5.13
H22,310000,48,2402,0.00,0.00,0,0.00,0.87,-18752,2.70,5.11
H22,315000,48,2402,0.00,0.00,0,0.00,0.87,-18558,5.20,5.14
H22,320000,48,2402,0.00,0.00,0,0.00,0.87,-18361,1.10,05.06
H22,325000,48,2402,0.00,0.00,0,0.00,0.87,-18124,2.30,4.86
H22,330000,48,2402,0.00,0.00,0,0.00,0.87,-17928,0.20,4.85
H22,335000,48,2402,0.00,0.00,0,0.00,0.87,-17735,5.30,4.99
H22,340000,48,2402,0.00,0.00,0,0.00,0.87,-17543,5.50,5.21
H22,345000,48,2402,0.00,0.00,0,0.00,0.87,-17349,4.30,5.26
H22,350000,48,2402,0.00,0.00,0,0.00,0.87,-17151,5.50,05.09
H22,355000,48,2402,0.00,0.00,0,0.00,0.87,-16956,3.20,5.13
H22,360000,48,2402,0.00,0.00,0,0.00,0.87,-16760,3.10,5.16
H22,365000,48,2402,0.00,0.00,0,0.00,0.87,-16566,5.80,5.23
H22,370000,48,2402,0.00,0.00,0,0.00,0.87,-16331,3.70,5.19
H22,375000,48,2402,0.00,0.00,0,0.00,0.87,-16132,2.70,4.97
H22,380000,48,2402,0.00,0.00,0,0.00,0.87,-15936,0.00,4.90
H22,385000,48,2402,0.00,0.00,0,0.00,0.87,-15742,2.90,4.69
H22,390000,48,2402,0.00,0.00,0,0.00,0.87,-15552,0.00,3.52
H22,395000,48,2402,0.00,0.00,0,0.00,0.87,-15374,0.00,1.69
H22,400000,48,2402,0.00,0.00,0,0.00,0.87,-15215,21.60,-0.47
H22,405000,48,2402,0.00,0.00,0,0.00,0.87,-15134,0.00,1.25
H22,410000,48,2402,0.00,0.00,0,0.00,0.87,-15068,21.70,2.49
H22,415000,48,2402,0.00,0.00,0,0.00,0.87,-14986,0.00,0.52
H22,420000,48,2402,0.00,0.00,0,0.00,0.87,-14932,34.20,-1.40
H22,425000,48,2402,0.00,0.00,0,0.00,0.87,-14947,0.00,-0.27
H22,430000,48,2402,0.00,0.00,0,0.00,0.87,-14963,1.90,0.39
H22,435000,48,2402,0.00,0.00,0,0.00,0.87,-14967,0.00,0.40
H22,440000,48,2402,0.00,0.00,0,0.00,0.87,-14967,0.00,0.33
H22,445000,48,2402,0.00,0.00,0,0.00,0.87,-14967,0.00,0.33
H22,450000,48,2402,0.00,0.00,0,0.00,0.87,-14967,0.00,0.33
H22,455000,48,2402,0.00,0.00,0,0.00,0.87,-14967,0.00,0.33
H22,460000,48,2402,0.00,0.00,0,0.00,0.87,-14967,0.00,0.33
H22,465000,48,2402,0.00,0.00,0,0.00,0.87,-14967,0.00,0.33
H22,470000,48,2402,0.00,0.00,0,0.00,0.87,-14967,0.00,0.00
H22,475000,48,2402,0.00,0.00,0,0.00,0.87,-14967,0.00,0.00
H22,480000,48,2402,0.00,0.00,0,0.00,0.87,-14967,0.00,0.00
H22,485000,48,2402,0.00,0.00,0,0.00,0.87,-14967,0.00,0.06
H22,490000,48,2402,0.00,0.00,0,0.00,0.87,-14967,4.00,1.34
H22,495000,48,2402,0.00,0.00,0,0.00,0.87,-14950,14.20,1.34
H22,500000,48,2402,0.00,0.00,0,0.00,0.87,-14915,6.70,1.34
H22,505000,48,2402,0.00,0.00,0,0.00,0.87,-14870,5.70,1.34
H22,510000,48,2402,0.00,0.00,0,0.00,0.87,-14828,2.20,1.34
H22,515000,48,2402,0.00,0.00,0,0.00,0.87,-14785,0.00,1.10
H22,520000,48,2402,0.00,0.00,0,0.00,0.87,-14750,0.00,01.05
H22,525000,48,2402,0.00,0.00,0,0.00,0.87,-14725,7.00,1.34
H22,530000,48,2402,0.00,0.00,0,0.00,0.87,-14687,3.50,1.21
H22,535000,48,2402,0.00,0.00,0,0.00,0.87,-14649,0.00,0.85
H22,540000,48,2402,0.00,0.00,0,0.00,0.87,-14622,3.40,1.26
H22,545000,48,2402,0.00,0.00,0,0.00,0.87,-14586,8.50,1.34
H22,550000,48,2402,0.00,0.00,0,0.00,0.87,-14549,3.40,1.26
H22,555000,48,2402,0.00,0.00,0,0.00,0.87,-14511,0.00,0.87
H22,560000,48,2402,0.00,0.00,0,0.00,0.87,-14479,0.00,0.98
H22,565000,48,2402,0.00,0.00,0,0.00,0.87,-14455,8.00,1.34
H22,570000,48,2402,0.00,0.00,0,0.00,0.87,-14419,5.70,1.28
H22,575000,48,2402,0.00,0.00,0,0.00,0.87,-14381,0.00,0.95
H22,580000,48,2402,0.00,0.00,0,0.00,0.87,-14347,0.00,0.88
H22,585000,48,2402,0.00,0.00,0,0.00,0.87,-14315,9.50,1.34
H22,590000,48,2402,0.00,0.00,0,0.00,0.87,-14283,6.20,1.34
H22,595000,48,2402,0.00,0.00,0,0.00,0.87,-14244,0.00,0.99
H22,600000,48,2402,0.00,0.00,0,0.00,0.87,-14210,0.00,0.88
H22,605000,48,2402,0.00,0.00,0,0.00,0.87,-14182,0.80,1.21
H22,610000,48,2402,0.00,0.00,0,0.00,0.87,-14150,2.30,1.20
H22,615000,48,2402,0.00,0.00,0,0.00,0.87,-14115,0.00,01.08
H22,620000,48,2402,0.00,0.00,0,0.00,0.87,-14084,2.50,1.17
H22,625000,48,2402,0.00,0.00,0,0.00,0.87,-14051,1.80,1.15
H22,630000,48,2402,0.00,0.00,0,0.00,0.87,-14012,2.70,1.16
H22,635000,48,2402,0.00,0.00,0,0.00,0.87,-13979,0.10,1.13
H22,640000,48,2402,0.00,0.00,0,0.00,0.87,-13948,2.80,1.23
H22,645000,48,2402,0.00,0.00,0,0.00,0.87,-13913,0.00,01.08
H22,650000,48,2402,0.00,0.00,0,0.00,0.87,-13883,4.20,1.24
H22,655000,48,2402,0.00,0.00,0,0.00,0.87,-13848,0.20,01.03
H22,660000,48,2402,0.00,0.00,0,0.00,0.87,-13814,0.00,01.02
H22,665000,48,2402,0.00,0.00,0,0.00,0.87,-13785,6.60,1.21
H22,670000,48,2402,0.00,0.00,0,0.00,0.87,-13745,3.50,1.18
