Drilling UID,Time (µs),T°,RPM,Spindle Amps (%),Spindle Cmd (%),Feed Pos. (µm),Feed Amps (%),Feed Cmd (%),Clamp Pos. (µm),Clamp Amps (%),Clamp Cmd (%)
H22,0,48,2402,0.00,0.00,0,0.40,0.87,-6772,21.60,1.34
H22,5000,48,2402,0.00,0.00,0,0.00,0.87,-6772,21.50,1.34
H22,10000,48,2402,0.00,0.00,0,1.10,0.87,-6772,21.50,1.34
H22,15000,48,2402,0.00,0.00,0,0.00,0.87,-6772,21.50,1.34
H22,20000,48,2402,0.00,0.00,0,0.00,0.87,-6772,21.50,1.34
H22,25000,48,2402,0.00,0.00,0,0.00,0.87,-6772,21.50,1.34
H22,30000,48,2402,0.00,0.00,0,0.00,0.87,-6772,21.60,1.34
H22,35000,48,2402,0.00,0.00,0,0.00,0.87,-6772,21.80,1.34
H22,40000,48,0,20.80,3.00,0,0.00,0.87,-6772,21.10,1.34
H22,45000,48,0,3.60,3.00,0,0.00,0.87,-6772,21.60,1.34
H22,50000,48,0,26.20,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,55000,48,0,28.50,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,60000,48,0,25.90,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,65000,48,0,29.80,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,70000,48,0,26.90,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,75000,48,0,29.60,3.00,0,0.00,0.87,-6772,21.30,1.34
H22,80000,48,0,28.50,3.00,0,0.00,0.87,-6772,21.30,1.34
H22,85000,48,0,29.00,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,90000,48,0,28.90,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,95000,48,0,28.40,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,100000,48,0,28.60,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,105000,48,0,28.70,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,110000,48,0,28.70,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,115000,48,0,29.00,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,120000,48,0,29.10,3.00,0,0.00,0.87,-6772,21.20,1.34
H22,125000,48,0,29.20,3.00,0,0.00,0.87,-6772,21.30,1.34
H22,130000,48,0,29.20,3.00,0,0.00,0.87,-6772,21.30,1.34
H22,135000,48,0,28.80,3.00,0,0.00,0.87,-6772,21.60,1.34
H22,140000,48,0,38.10,3.00,0,0.00,0.87,-6772,21.30,1.34
H22,145000,48,0,13.50,3.00,0,0.00,0.87,-6772,21.40,1.34
H22,150000,48,0,61.50,3.00,0,0.00,0.87,-6772,21.00,1.34
H22,155000,48,0,52.80,3.00,0,0.10,0.87,-6772,21.10,1.34
H22,160000,48,0,36.70,3.00,0,0.00,0.87,-6772,21.10,1.34
H22,165000,48,0,6.20,3.00,0,0.00,0.87,-6772,21.50,1.34
H22,170000,48,0,0.00,3.00,0,0.00,0.87,-6772,21.40,1.34
H22,175000,48,0,10.80,3.00,0,0.00,0.87,-6772,21.40,1.34
H22,180000,48,0,2.30,3.00,0,0.00,0.87,-6772,21.60,1.34
H22,185000,48,0,5.10,3.00,0,0.00,0.87,-6772,21.60,1.34
H22,190000,48,0,0.00,3.16,0,0.00,0.87,-6772,21.40,1.34
H22,195000,48,0,1.40,3.40,0,0.00,0.87,-6772,21.40,1.34
H22,200000,48,0,5.10,3.66,0,0.00,0.87,-6772,21.40,1.34
H22,205000,48,0,5.00,3.90,0,0.00,0.87,-6772,21.50,1.34
H22,210000,48,0,3.60,4.16,0,0.00,0.87,-6772,21.50,1.34
H22,215000,48,0,2.80,4.40,0,0.00,0.87,-6772,21.40,1.34
H22,220000,48,0,4.20,4.66,0,0.00,0.87,-6772,21.50,1.34
H22,225000,48,0,4.20,4.90,0,0.00,0.87,-6772,21.50,1.34
H22,230000,48,0,0.50,5.16,0,0.00,0.87,-6772,21.50,1.34
H22,235000,48,0,3.90,5.40,0,0.00,0.87,-6772,21.60,1.34
H22,240000,49,0,3.80,5.66,0,0.00,0.87,-6772,21.40,1.34
H22,245000,49,0,0.60,5.91,0,0.00,0.87,-6772,21.50,1.34
H22,250000,49,0,4.80,6.16,0,0.00,0.87,-6772,21.40,1.34
H22,255000,49,0,4.20,6.41,0,0.00,0.87,-6772,21.50,1.34
H22,260000,49,0,2.20,6.66,0,0.00,0.87,-6772,21.50,1.34
H22,265000,49,0,3.40,6.91,0,0.00,0.87,-6772,21.40,1.34
H22,270000,49,0,2.60,7.16,0,0.00,0.87,-6772,21.50,1.34
H22,275000,48,0,3.70,7.17,0,0.00,0.87,-6772,21.40,1.34
H22,280000,48,0,1.60,7.17,0,0.00,0.87,-6772,21.40,1.34
H22,285000,48,0,1.00,7.17,0,0.00,0.87,-6772,21.50,1.34
H22,290000,48,0,1.50,7.17,0,0.00,0.87,-6772,21.50,1.34
H22,295000,48,481,0.00,7.78,0,0.00,0.87,-6772,21.40,1.34
H22,300000,48,482,16.80,10.30,0,0.00,0.87,-6772,21.20,1.34
H22,305000,48,510,10.10,10.59,0,0.00,0.87,-6772,21.30,1.34
H22,310000,49,564,3.90,9.88,0,0.00,0.87,-6772,21.40,1.34
H22,315000,49,636,0.00,9.68,0,0.00,0.87,-6772,21.60,1.34
H22,320000,49,636,6.50,11.76,0,0.00,0.87,-6772,21.50,1.34
H22,325000,49,636,12.70,14.23,0,0.10,0.87,-6772,21.10,1.34
H22,330000,49,688,9.70,14.09,0,0.00,0.87,-6772,21.40,1.34
H22,335000,49,764,1.60,12.35,0,0.00,0.87,-6772,21.40,1.34
H22,340000,49,765,3.70,14.32,0,0.00,0.87,-6772,21.40,1.34
H22,345000,48,765,13.00,16.75,0,0.00,0.87,-6772,21.20,1.34
H22,350000,48,821,7.40,15.32,0,0.00,0.87,-6772,21.10,1.34
H22,355000,48,893,0.60,14.43,0,0.00,0.87,-6772,21.50,1.34
H22,360000,48,896,1.00,16.24,0,0.00,0.87,-6772,21.50,1.34
H22,365000,48,904,5.50,18.14,0,0.10,0.87,-6772,21.30,1.34
H22,370000,48,952,6.30,17.94,0,0.00,0.87,-6772,21.30,1.34
H22,375000,48,983,3.80,18.40,0,0.00,0.87,-6772,21.40,1.34
H22,380000,48,996,14.40,20.17,0,0.10,0.87,-6772,21.00,1.34
H22,385000,48,1023,12.80,20.21,0,0.10,0.87,-6772,21.20,1.34
H22,390000,48,1088,1.60,19.28,0,0.00,0.87,-6772,21.30,1.34
H22,395000,48,1096,6.40,21.08,0,0.00,0.87,-6772,21.20,1.34
H22,400000,48,1137,8.40,21.46,0,0.00,0.87,-6772,21.20,1.34
H22,405000,48,1181,2.40,21.26,0,0.00,0.87,-6772,21.40,1.34
H22,410000,48,1186,11.10,23.24,0,0.00,0.87,-6771,21.00,1.34
H22,415000,48,1214,12.30,24.00,0,0.00,0.87,-6771,21.00,1.34
H22,420000,48,1254,4.80,24.16,0,0.00,0.85,-6771,21.30,1.34
H22,425000,48,1275,6.30,24.58,0,0.00,0.87,-6771,21.30,1.34
H22,430000,48,1308,8.20,25.06,0,0.10,0.87,-6771,21.30,1.34
H22,435000,48,1349,3.20,25.93,0,0.10,0.87,-6771,21.70,1.34
H22,440000,48,1373,8.50,26.57,0,0.00,0.87,-6771,21.30,1.34
H22,445000,48,1398,12.40,27.49,0,0.10,0.87,-6771,21.10,1.34
H22,450000,48,1431,7.00,28.05,0,0.10,0.87,-6771,21.40,1.34
H22,455000,48,1480,3.80,27.61,0,0.00,0.87,-6770,21.10,1.34
H22,460000,48,1480,2.60,28.45,0,0.00,0.87,-6770,21.40,1.34
H22,465000,48,1532,8.10,29.95,0,0.00,0.87,-6770,21.30,1.34
H22,470000,48,1532,7.20,29.72,0,0.20,0.87,-6770,21.30,1.34
H22,475000,48,1579,6.30,31.41,0,0.00,0.87,-6770,21.10,1.34
H22,480000,48,1612,4.80,31.54,0,0.10,0.87,-6770,21.20,1.34
H22,485000,48,1647,3.20,31.78,0,0.10,0.87,-6770,21.20,1.34
H22,490000,48,1675,7.60,32.44,0,0.30,0.87,-6770,21.30,1.34
H22,495000,48,1693,9.30,33.70,0,0.30,0.87,-6770,21.00,1.34
H22,500000,48,1742,10.20,34.49,0,0.10,0.87,-6770,20.90,1.34
H22,505000,48,1783,3.60,34.02,0,0.40,0.87,-6770,21.20,1.34
H22,510000,48,1783,7.60,35.43,0,0.30,0.87,-6770,21.20,1.34
