timestamp, reference, outil, assembly, clamp_weight, speed, feed, peak_frequency, peak_amplitude, deltatime
1687952030323, momo, dede, asna2392-3-04.217, 50, 2800, 80, 16, 0.1, 44
1687952030418, momo, dede, asna2392-3-04.218, 50, 2800, 80, 16, 0.1, 47
1687952030513, momo, dede, asna2392-3-04.219, 50, 2800, 80, 16, 0.1, 46
1687952030612, momo, dede, asna2392-3-04.220, 50, 2800, 80, 16, 0.1, 48
1687952030710, momo, dede, asna2392-3-04.221, 50, 2800, 80, 16, 0.1, 45
1687952030950, momo, dede, asna2392-3-04.185, 50, 2800, 80, 16, 0.1, 49
1687952031053, momo, dede, asna2392-3-04.213, 50, 2800, 80, 16, 0.1, 50
1687952031159, momo, dede, asna2392-3-04.214, 50, 2800, 80, 16, 0.1, 48
1687952031256, momo, dede, asna2392-3-04.215, 50, 2800, 80, 16, 0.1, 48
1687952031357, momo, dede, asna2392-3-04.216, 50, 2800, 80, 16, 0.1, 51
1687952031605, momo, dede, asna2392-3-04.222, 50, 2800, 80, 16, 0.1, 47
1687952031715, momo, dede, asna2392-3-04.223, 50, 2800, 80, 16, 0.1, 37
1687952031803, momo, dede, asna2392-3-04.224, 50, 2800, 80, 16, 0.1, 44
1687952031898, momo, dede, asna2392-3-04.225, 50, 2800, 80, 16, 0.1, 50
1687952031999, momo, dede, asna2392-3-05.249, 50, 2800, 80, 16, 0.1, 48
1687952032099, momo, dede, asna2392-3-05.250, 50, 2800, 80, 16, 0.1, 47
1687952032343, momo, dede, asna2392-3-04.229, 50, 2800, 80, 16, 0.1, 43
1687952032437, momo, dede, asna2392-3-04.228, 50, 2800, 80, 16, 0.1, 46
1687952032535, momo, dede, asna2392-3-04.227, 50, 2800, 80, 16, 0.1, 44
1687952032628, momo, dede, asna2392-3-04.226, 50, 2800, 80, 16, 0.1, 47
1687952032730, momo, dede, asna2392-3-05.246, 50, 2800, 80, 16, 0.1, 49
1687952032840, momo, dede, asna2392-3-05.245, 50, 2800, 80, 16, 0.1, 39
1687952033092, momo, dede, asna2392-3-04.179, 50, 2800, 80, 16, 0.1, 44
1687952033186, momo, dede, asna2392-3-04.177, 50, 2800, 80, 16, 0.1, 45
1687952033281, momo, dede, asna2392-3-04.176, 50, 2800, 80, 16, 0.1, 50
1687952033387, momo, dede, asna2392-3-04.178, 50, 2800, 80, 16, 0.1, 47
1687952033486, momo, dede, asna2392-3-04.175, 50, 2800, 80, 16, 0.1, 44
1687952033726, momo, dede, asna2392-3-04.184, 50, 2800, 80, 16, 0.1, 45
1687952033826, momo, dede, asna2392-3-04.183, 50, 2800, 80, 16, 0.1, 44
1687952033922, momo, dede, asna2392-3-04.182, 50, 2800, 80, 16, 0.1, 44
1687952034021, momo, dede, asna2392-3-04.181, 50, 2800, 80, 16, 0.1, 52
1687952034124, momo, dede, asna2392-3-04.180, 50, 2800, 80, 16, 0.1, 43
1687952034367, momo, dede, asna2392-3-04.171, 50, 2800, 80, 16, 0.1, 44
1687952034461, momo, dede, asna2392-3-04.172, 50, 2800, 80, 16, 0.1, 46
1687952034557, momo, dede, asna2392-3-04.173, 50, 2800, 80, 16, 0.1, 50
1687952034658, momo, dede, asna2392-3-04.174, 50, 2800, 80, 16, 0.1, 44
1687952034757, momo, dede, asna2392-3-05.241, 50, 2800, 80, 16, 0.1, 45
1687952034858, momo, dede, asna2392-3-05.242, 50, 2800, 80, 16, 0.1, 45
1687952034961, momo, dede, asna2392-3-07.171, 50, 2800, 80, 16, 0.1, 50
1687952035063, momo, dede, asna2392-3-07.172, 50, 2800, 80, 16, 0.1, 45
1687952035310, momo, dede, asna2392-3-04.167, 50, 2800, 80, 16, 0.1, 51
1687952035413, momo, dede, asna2392-3-04.168, 50, 2800, 80, 16, 0.1, 46
1687952035512, momo, dede, asna2392-3-04.169, 50, 2800, 80, 16, 0.1, 44
1687952035609, momo, dede, asna2392-3-04.170, 50, 2800, 80, 16, 0.1, 46
1687952035709, momo, dede, asna2392-3-05.239, 50, 2800, 80, 16, 0.1, 47
1687952035804, momo, dede, asna2392-3-05.240, 50, 2800, 80, 16, 0.1, 47
1687952035902, momo, dede, asna2392-3-07.169, 50, 2800, 80, 16, 0.1, 45
1687952036003, momo, dede, asna2392-3-07.170, 50, 2800, 80, 16, 0.1, 46
1687952079145, momo, dede, asna2392-3-04.217, 50, 2300, 60, 16, 0.1, 46
1687952079244, momo, dede, asna2392-3-04.218, 50, 2300, 60, 16, 0.1, 52
1687952079351, momo, dede, asna2392-3-04.219, 50, 2300, 60, 16, 0.1, 46
1687952079447, momo, dede, asna2392-3-04.220, 50, 2300, 60, 16, 0.1, 52
1687952079553, momo, dede, asna2392-3-04.221, 50, 2300, 60, 16, 0.1, 46
1687952079798, momo, dede, asna2392-3-04.185, 50, 2300, 60, 16, 0.1, 45
1687952079895, momo, dede, asna2392-3-04.213, 50, 2300, 60, 16, 0.1, 50
